P VALUE,PROTECTION ALLOCATION,DEFENCE STRATEGY,NUMBER OF WINS
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.50,RANDOM,PROXIMITY,110
0.50,RANDOM,DEGREE,12
0.50,RANDOM,PROTECTION,378
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.55,RANDOM,PROXIMITY,107
0.55,RANDOM,DEGREE,10
0.55,RANDOM,PROTECTION,384
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.60,RANDOM,PROXIMITY,139
0.60,RANDOM,DEGREE,22
0.60,RANDOM,PROTECTION,341
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.65,RANDOM,PROXIMITY,139
0.65,RANDOM,DEGREE,40
0.65,RANDOM,PROTECTION,324
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.70,RANDOM,PROXIMITY,109
0.70,RANDOM,DEGREE,20
0.70,RANDOM,PROTECTION,374
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.75,RANDOM,PROXIMITY,148
0.75,RANDOM,DEGREE,26
0.75,RANDOM,PROTECTION,332
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.80,RANDOM,PROXIMITY,149
0.80,RANDOM,DEGREE,36
0.80,RANDOM,PROTECTION,316
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.85,RANDOM,PROXIMITY,134
0.85,RANDOM,DEGREE,24
0.85,RANDOM,PROTECTION,351
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.90,RANDOM,PROXIMITY,156
0.90,RANDOM,DEGREE,38
0.90,RANDOM,PROTECTION,316
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
0.95,RANDOM,PROXIMITY,178
0.95,RANDOM,DEGREE,41
0.95,RANDOM,PROTECTION,289
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
1.00,RANDOM,PROXIMITY,181
1.00,RANDOM,DEGREE,40
1.00,RANDOM,PROTECTION,301
